name,vina_score,pose_centroid_x,pose_centroid_y,pose_centroid_z,out_pdbqt
aspirin,-5.0,3.4230238095238077,16.90253968253969,18.08969047619048,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/aspirin_out.pdbqt
caffeine,-4.7,3.409119047619048,16.15123015873016,20.343690476190474,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/caffeine_out.pdbqt
nicotinamide,-5.1,6.3473131313131335,18.401848484848482,27.21251515151515,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/nicotinamide_out.pdbqt
ibuprofen,-6.0,1.2934375000000005,16.012777777777778,19.17386805555555,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/ibuprofen_out.pdbqt
benzamidine,-5.5,1.796462962962964,18.98886111111111,27.751231481481486,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/benzamidine_out.pdbqt
methyl_benzamidine,-5.7,3.9126410256410256,16.279914529914524,21.30023931623931,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/methyl_benzamidine_out.pdbqt
ethyl_benzamidine,-5.8,2.095579365079366,16.540920634920635,19.842341269841267,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/ethyl_benzamidine_out.pdbqt
isopropyl_benzamidine,-6.2,5.1731851851851856,17.026222222222223,27.954096296296303,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/isopropyl_benzamidine_out.pdbqt
tertbutyl_benzamidine,-5.9,3.527965277777777,16.551701388888894,22.775416666666658,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/tertbutyl_benzamidine_out.pdbqt
methoxy_benzamidine,-5.8,1.6304444444444448,14.963198412698416,24.96942857142857,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/methoxy_benzamidine_out.pdbqt
ethoxy_benzamidine,-5.8,3.247600000000001,16.589192592592596,25.605244444444452,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/ethoxy_benzamidine_out.pdbqt
hydroxy_benzamidine,-6.1,0.9684047619047621,17.833777777777787,30.506682539682544,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/hydroxy_benzamidine_out.pdbqt
fluoro_benzamidine,-5.8,2.767606837606838,18.813743589743588,24.34147008547009,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/fluoro_benzamidine_out.pdbqt
chloro_benzamidine,-5.7,5.684700854700857,17.405427350427356,28.12350427350426,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/chloro_benzamidine_out.pdbqt
bromo_benzamidine,-5.5,2.3624102564102563,15.567948717948727,24.44671794871795,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/bromo_benzamidine_out.pdbqt
iodo_benzamidine,-5.4,0.38823076923076943,14.69629914529914,25.023999999999983,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/iodo_benzamidine_out.pdbqt
trifluoromethyl_benzamidine,-6.4,5.070249999999999,17.78059722222222,25.15744444444444,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/trifluoromethyl_benzamidine_out.pdbqt
cyano_benzamidine,-5.7,3.9495158730158746,16.177658730158733,30.83829365079366,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/cyano_benzamidine_out.pdbqt
formyl_benzamidine,-5.8,4.165952380952381,16.299920634920632,25.726492063492067,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/formyl_benzamidine_out.pdbqt
acetyl_benzamidine,-6.1,3.35411111111111,15.58294814814815,26.16014814814815,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/acetyl_benzamidine_out.pdbqt
carboxy_benzamidine,-6.4,2.918104166666666,16.817527777777784,25.874541666666673,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/carboxy_benzamidine_out.pdbqt
sulfamoyl_benzamidine,-5.9,2.8270679012345656,16.535512345679003,20.085672839506174,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/sulfamoyl_benzamidine_out.pdbqt
amino_benzamidine,-6.1,5.9197407407407425,17.21989629629629,27.904859259259247,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/amino_benzamidine_out.pdbqt
dimethylamino_benzamidine,-6.1,0.9797777777777776,16.007481481481484,20.978207407407414,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/dimethylamino_benzamidine_out.pdbqt
diethylamino_benzamidine,-5.9,2.109143790849673,15.694320261437912,20.113738562091502,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/diethylamino_benzamidine_out.pdbqt
vinyl_benzamidine,-5.8,2.716261904761906,15.433619047619041,23.78963492063492,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/vinyl_benzamidine_out.pdbqt
allyl_benzamidine,-6.0,3.869874074074074,15.883481481481486,22.70714074074074,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/allyl_benzamidine_out.pdbqt
propargyl_benzamidine,-5.8,0.8682444444444443,15.897444444444446,19.852451851851843,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/propargyl_benzamidine_out.pdbqt
phenyl_benzamidine,-6.7,0.7792037037037034,15.772401234567898,20.771765432098757,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/phenyl_benzamidine_out.pdbqt
biphenyl_benzamidine,-6.9,2.540864197530866,16.407537037037045,22.247049382716053,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/biphenyl_benzamidine_out.pdbqt
hydroxy_methoxy_benzamidine,-5.7,5.258687499999997,17.698576388888895,29.03049305555556,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/hydroxy_methoxy_benzamidine_out.pdbqt
hydroxy_ethoxy_benzamidine,-5.8,0.6000261437908491,15.88336601307189,23.492967320261442,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/hydroxy_ethoxy_benzamidine_out.pdbqt
aminomethyl_benzamidine,-6.0,4.448930555555557,15.694291666666661,30.06380555555555,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/aminomethyl_benzamidine_out.pdbqt
aminoethyl_benzamidine,-6.0,4.549052287581701,16.724869281045752,25.483816993464053,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/aminoethyl_benzamidine_out.pdbqt
hydroxyethyl_benzamidine,-6.0,5.154513888888892,17.58989583333333,24.017548611111106,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/hydroxyethyl_benzamidine_out.pdbqt
dimethylaminoethyl_benzamidine,-6.1,4.684934640522877,17.199228758169944,22.186261437908488,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/dimethylaminoethyl_benzamidine_out.pdbqt
benzyl_benzamidine,-7.6,2.753800000000001,16.649244444444452,18.39110555555554,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/benzyl_benzamidine_out.pdbqt
phenoxy_benzamidine,-7.2,4.221467836257309,16.933959064327492,19.35549122807018,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/phenoxy_benzamidine_out.pdbqt
benzyloxy_benzamidine,-7.6,3.573155555555556,16.871588888888887,19.105905555555555,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/benzyloxy_benzamidine_out.pdbqt
cyclohexyl_benzamidine,-6.8,1.6832530864197524,16.299265432098768,21.472172839506175,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/cyclohexyl_benzamidine_out.pdbqt
isopropoxy_benzamidine,-6.3,2.270944444444444,15.816909722222224,24.90713194444443,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/isopropoxy_benzamidine_out.pdbqt
tertbutoxy_benzamidine,-5.5,4.27964705882353,17.0365816993464,21.256777777777774,/global/cfs/cdirs/m3288/suman/CADD_workspace/CADD_flow/results/1PPB/vina_out/tertbutoxy_benzamidine_out.pdbqt
